Crop,Season,Sowing Period,Harvesting Period
Arecanut,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Banana,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Black pepper,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Cashewnut,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Coconut,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Dry chillies,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Ginger,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
other oilseeds,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Rice,Kharif,"['June', 'July']","['October', 'November']"
Sugarcane,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Sweet potato,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Tapioca,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Turmeric,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Arhar/Tur,Kharif,"['June', 'July']","['October', 'November']"
Arhar/Tur,Rabi,"['October', 'November', 'December']","['March', 'April']"
Bajra,Rabi,"['October', 'November', 'December']","['March', 'April']"
Bajra,Kharif,"['June', 'July']","['October', 'November']"
Castor seed,Kharif,"['June', 'July']","['October', 'November']"
Coriander,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Cotton(lint),Kharif,"['June', 'July']","['October', 'November']"
Dry chillies,Kharif,"['June', 'July']","['October', 'November']"
Dry chillies,Rabi,"['October', 'November', 'December']","['March', 'April']"
Gram,Kharif,"['June', 'July']","['October', 'November']"
Gram,Rabi,"['October', 'November', 'December']","['March', 'April']"
Groundnut,Kharif,"['June', 'July']","['October', 'November']"
Groundnut,Rabi,"['October', 'November', 'December']","['March', 'April']"
Horse-gram,Kharif,"['June', 'July']","['October', 'November']"
Horse-gram,Rabi,"['October', 'November', 'December']","['March', 'April']"
Jowar,Kharif,"['June', 'July']","['October', 'November']"
Jowar,Rabi,"['October', 'November', 'December']","['March', 'April']"
Linseed,Rabi,"['October', 'November', 'December']","['March', 'April']"
Maize,Kharif,"['June', 'July']","['October', 'November']"
Maize,Rabi,"['October', 'November', 'December']","['March', 'April']"
Mesta,Kharif,"['June', 'July']","['October', 'November']"
Moong(Green Gram),Kharif,"['June', 'July']","['October', 'November']"
Moong(Green Gram),Rabi,"['October', 'November', 'December']","['March', 'April']"
Niger seed,Kharif,"['June', 'July']","['October', 'November']"
Onion,Rabi,"['October', 'November', 'December']","['March', 'April']"
Onion,Kharif,"['June', 'July']","['October', 'November']"
Other Rabi pulses,Rabi,"['October', 'November', 'December']","['March', 'April']"
Other Kharif pulses,Kharif,"['June', 'July']","['October', 'November']"
Potato,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Ragi,Kharif,"['June', 'July']","['October', 'November']"
Ragi,Rabi,"['October', 'November', 'December']","['March', 'April']"
Rapeseed &Mustard,Rabi,"['October', 'November', 'December']","['March', 'April']"
Rice,Rabi,"['October', 'November', 'December']","['March', 'April']"
Safflower,Rabi,"['October', 'November', 'December']","['March', 'April']"
Sesamum,Kharif,"['June', 'July']","['October', 'November']"
Sesamum,Rabi,"['October', 'November', 'December']","['March', 'April']"
Small millets,Kharif,"['June', 'July']","['October', 'November']"
Small millets,Rabi,"['October', 'November', 'December']","['March', 'April']"
Soyabean,Kharif,"['June', 'July']","['October', 'November']"
Sunflower,Kharif,"['June', 'July']","['October', 'November']"
Sunflower,Rabi,"['October', 'November', 'December']","['March', 'April']"
Sunflower,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Tobacco,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Urad,Kharif,"['June', 'July']","['October', 'November']"
Urad,Rabi,"['October', 'November', 'December']","['March', 'April']"
Wheat,Rabi,"['October', 'November', 'December']","['March', 'April']"
Oilseeds total,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Jute,Kharif,"['June', 'July']","['October', 'November']"
Masoor,Rabi,"['October', 'November', 'December']","['March', 'April']"
Onion,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Peas & beans (Pulses),Rabi,"['October', 'November', 'December']","['March', 'April']"
Rice,Autumn,"['September', 'October']","['November', 'December']"
Rice,Summer,"['February', 'March']","['May', 'June']"
Rice,Winter,"['October', 'November']","['February', 'March']"
Barley,Rabi,"['October', 'November', 'December']","['March', 'April']"
Garlic,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Ginger,Kharif,"['June', 'July']","['October', 'November']"
Khesari,Rabi,"['October', 'November', 'December']","['March', 'April']"
Maize,Summer,"['February', 'March']","['May', 'June']"
Moong(Green Gram),Summer,"['February', 'March']","['May', 'June']"
Sannhamp,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Sannhamp,Kharif,"['June', 'July']","['October', 'November']"
Potato,Rabi,"['October', 'November', 'December']","['March', 'April']"
Potato,Kharif,"['June', 'July']","['October', 'November']"
Banana,Kharif,"['June', 'July']","['October', 'November']"
Banana,Rabi,"['October', 'November', 'December']","['March', 'April']"
Coconut,Kharif,"['June', 'July']","['October', 'November']"
Gram,Winter,"['October', 'November']","['February', 'March']"
Niger seed,Winter,"['October', 'November']","['February', 'March']"
Rapeseed &Mustard,Winter,"['October', 'November']","['February', 'March']"
Sesamum,Winter,"['October', 'November']","['February', 'March']"
Sugarcane,Winter,"['October', 'November']","['February', 'March']"
Wheat,Winter,"['October', 'November']","['February', 'March']"
Barley,Kharif,"['June', 'July']","['October', 'November']"
Bajra,Summer,"['February', 'March']","['May', 'June']"
Groundnut,Summer,"['February', 'March']","['May', 'June']"
Guar seed,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Moth,Kharif,"['June', 'July']","['October', 'November']"
Other Cereals,Rabi,"['October', 'November', 'December']","['March', 'April']"
Other Cereals,Kharif,"['June', 'July']","['October', 'November']"
Coriander,Rabi,"['October', 'November', 'December']","['March', 'April']"
Garlic,Rabi,"['October', 'November', 'December']","['March', 'April']"
Turmeric,Kharif,"['June', 'July']","['October', 'November']"
Cowpea(Lobia),Kharif,"['June', 'July']","['October', 'November']"
Cowpea(Lobia),Rabi,"['October', 'November', 'December']","['March', 'April']"
Garlic,Kharif,"['June', 'July']","['October', 'November']"
Moth,Rabi,"['October', 'November', 'December']","['March', 'April']"
other oilseeds,Kharif,"['June', 'July']","['October', 'November']"
other oilseeds,Rabi,"['October', 'November', 'December']","['March', 'April']"
Peas & beans (Pulses),Kharif,"['June', 'July']","['October', 'November']"
Rapeseed &Mustard,Kharif,"['June', 'July']","['October', 'November']"
Sugarcane,Kharif,"['June', 'July']","['October', 'November']"
Tobacco,Kharif,"['June', 'July']","['October', 'November']"
Wheat,Kharif,"['June', 'July']","['October', 'November']"
Maize,Autumn,"['September', 'October']","['November', 'December']"
Potato,Winter,"['October', 'November']","['February', 'March']"
Ragi,Autumn,"['September', 'October']","['November', 'December']"
Cardamom,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Cotton(lint),Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Dry chillies,Summer,"['February', 'March']","['May', 'June']"
Jowar,Summer,"['February', 'March']","['May', 'June']"
Mesta,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Onion,Summer,"['February', 'March']","['May', 'June']"
Peas & beans (Pulses),Summer,"['February', 'March']","['May', 'June']"
Potato,Summer,"['February', 'March']","['May', 'June']"
Ragi,Summer,"['February', 'March']","['May', 'June']"
Sunflower,Summer,"['February', 'March']","['May', 'June']"
Sesamum,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Banana,Summer,"['February', 'March']","['May', 'June']"
Ginger,Summer,"['February', 'March']","['May', 'June']"
Sugarcane,Summer,"['February', 'March']","['May', 'June']"
Turmeric,Summer,"['February', 'March']","['May', 'June']"
Arecanut,Rabi,"['October', 'November', 'December']","['March', 'April']"
Castor seed,Rabi,"['October', 'November', 'December']","['March', 'April']"
Cotton(lint),Rabi,"['October', 'November', 'December']","['March', 'April']"
Jute,Rabi,"['October', 'November', 'December']","['March', 'April']"
Sweet potato,Kharif,"['June', 'July']","['October', 'November']"
Sweet potato,Rabi,"['October', 'November', 'December']","['March', 'April']"
Tapioca,Kharif,"['June', 'July']","['October', 'November']"
Tobacco,Rabi,"['October', 'November', 'December']","['March', 'April']"
Turmeric,Rabi,"['October', 'November', 'December']","['March', 'April']"
Masoor,Kharif,"['June', 'July']","['October', 'November']"
Rice,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Cardamom,Kharif,"['June', 'July']","['October', 'November']"
Sugarcane,Rabi,"['October', 'November', 'December']","['March', 'April']"
Groundnut,Autumn,"['September', 'October']","['November', 'December']"
Groundnut,Winter,"['October', 'November']","['February', 'March']"
Horse-gram,Winter,"['October', 'November']","['February', 'March']"
Horse-gram,Summer,"['February', 'March']","['May', 'June']"
Jute,Autumn,"['September', 'October']","['November', 'December']"
Maize,Winter,"['October', 'November']","['February', 'March']"
Moong(Green Gram),Autumn,"['September', 'October']","['November', 'December']"
Moong(Green Gram),Winter,"['October', 'November']","['February', 'March']"
Niger seed,Rabi,"['October', 'November', 'December']","['March', 'April']"
Ragi,Winter,"['October', 'November']","['February', 'March']"
Sesamum,Autumn,"['September', 'October']","['November', 'December']"
Sesamum,Summer,"['February', 'March']","['May', 'June']"
Urad,Autumn,"['September', 'October']","['November', 'December']"
Urad,Summer,"['February', 'March']","['May', 'June']"
Urad,Winter,"['October', 'November']","['February', 'March']"
Wheat,Summer,"['February', 'March']","['May', 'June']"
Arecanut,Kharif,"['June', 'July']","['October', 'November']"
Black pepper,Kharif,"['June', 'July']","['October', 'November']"
Cotton(lint),Summer,"['February', 'March']","['May', 'June']"
Arhar/Tur,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Bajra,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Castor seed,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Gram,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Groundnut,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Horse-gram,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Jowar,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Maize,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Moong(Green Gram),Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Ragi,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Rapeseed &Mustard,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Urad,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Tobacco,Summer,"['February', 'March']","['May', 'June']"
Arecanut,Autumn,"['September', 'October']","['November', 'December']"
Arecanut,Summer,"['February', 'March']","['May', 'June']"
Arhar/Tur,Summer,"['February', 'March']","['May', 'June']"
Banana,Autumn,"['September', 'October']","['November', 'December']"
Black pepper,Rabi,"['October', 'November', 'December']","['March', 'April']"
Black pepper,Autumn,"['September', 'October']","['November', 'December']"
Black pepper,Summer,"['February', 'March']","['May', 'June']"
Dry Ginger,Rabi,"['October', 'November', 'December']","['March', 'April']"
Dry Ginger,Summer,"['February', 'March']","['May', 'June']"
Rapeseed &Mustard,Summer,"['February', 'March']","['May', 'June']"
Safflower,Summer,"['February', 'March']","['May', 'June']"
Sugarcane,Autumn,"['September', 'October']","['November', 'December']"
Sweet potato,Summer,"['February', 'March']","['May', 'June']"
Sweet potato,Autumn,"['September', 'October']","['November', 'December']"
Tapioca,Rabi,"['October', 'November', 'December']","['March', 'April']"
Tapioca,Summer,"['February', 'March']","['May', 'June']"
Tapioca,Autumn,"['September', 'October']","['November', 'December']"
Arhar/Tur,Winter,"['October', 'November']","['February', 'March']"
Barley,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Khesari,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Linseed,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Masoor,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Niger seed,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Peas & beans (Pulses),Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Safflower,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Small millets,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Soyabean,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Wheat,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Cashewnut,Kharif,"['June', 'July']","['October', 'November']"
Other Rabi pulses,Summer,"['February', 'March']","['May', 'June']"
Guar seed,Kharif,"['June', 'July']","['October', 'November']"
Cashewnut,Rabi,"['October', 'November', 'December']","['March', 'April']"
Ginger,Rabi,"['October', 'November', 'December']","['March', 'April']"
Coriander,Kharif,"['June', 'July']","['October', 'November']"
Linseed,Kharif,"['June', 'July']","['October', 'November']"
Soyabean,Rabi,"['October', 'November', 'December']","['March', 'April']"
Safflower,Kharif,"['June', 'July']","['October', 'November']"
Sannhamp,Winter,"['October', 'November']","['February', 'March']"
Cowpea(Lobia),Summer,"['February', 'March']","['May', 'June']"
Other Kharif pulses,Rabi,"['October', 'November', 'December']","['March', 'April']"
Small millets,Summer,"['February', 'March']","['May', 'June']"
Jowar,Autumn,"['September', 'October']","['November', 'December']"
Small millets,Autumn,"['September', 'October']","['November', 'December']"
Mesta,Rabi,"['October', 'November', 'December']","['March', 'April']"
